"state_abb","DATE","PRCP","SNOW","TMAX","TMIN","Fog","HeavyFog","Thunder","Sleet","Hail","Glaze","Dust","Smoke","DriftSnow","Winds","Mist","Drizzle","Rain","FrzRain","Snow","UnknownPrec","IceFog","State","Demand.Loss..MW.","Date.of.Restoration","Event.Type","Region","Month","dayName","Weekend","Blackout","Season"
"CA",2008-04-07,0,0,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Monday",0,0,"Spring"
"CA",2008-04-08,0,0,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Tuesday",0,0,"Spring"
"CA",2008-04-09,0,0,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Wednesday",0,0,"Spring"
"CA",2008-04-10,0,0,77,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Thursday",0,0,"Spring"
"CA",2008-04-11,0,0,82,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Friday",0,0,"Spring"
"CA",2008-04-12,0,0,88,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Saturday",1,0,"Spring"
"CA",2008-04-13,0,0,91,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Sunday",1,0,"Spring"
"CA",2008-04-14,0,0,69,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Monday",0,0,"Spring"
"CA",2008-04-15,0,0,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Tuesday",0,0,"Spring"
"CA",2008-04-16,0,0,76,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Wednesday",0,0,"Spring"
"CA",2008-04-17,0,0,81,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Thursday",0,0,"Spring"
"CA",2008-04-18,0,0,79,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Friday",0,0,"Spring"
"CA",2008-04-19,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Saturday",1,0,"Spring"
"CA",2008-04-20,0,0,62,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Sunday",1,0,"Spring"
"CA",2008-04-21,0,0,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Monday",0,0,"Spring"
"CA",2008-04-22,0,0,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Tuesday",0,0,"Spring"
"CA",2008-04-23,0.01,0,64,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Wednesday",0,0,"Spring"
"CA",2008-04-24,0,0,72,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Thursday",0,0,"Spring"
"CA",2008-04-25,0,0,79,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Friday",0,0,"Spring"
"CA",2008-04-26,0,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Saturday",1,0,"Spring"
"CA",2008-04-27,0,0,92,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Sunday",1,0,"Spring"
"CA",2008-04-28,0,0,87,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Monday",0,0,"Spring"
"CA",2008-04-29,0,0,72,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Tuesday",0,0,"Spring"
"CA",2008-04-30,0,0,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Wednesday",0,0,"Spring"
"CA",2008-05-01,0,0,77,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Thursday",0,0,"Spring"
"CA",2008-05-02,0,0,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Friday",0,0,"Spring"
"CA",2008-05-03,0,0,81,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Saturday",1,0,"Spring"
"CA",2008-05-04,0,0,76,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Sunday",1,0,"Spring"
"CA",2008-05-05,0,0,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Monday",0,0,"Spring"
"CA",2008-05-06,0,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Tuesday",0,0,"Spring"
"CA",2008-05-07,0,0,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Wednesday",0,0,"Spring"
"CA",2008-05-08,0,0,81,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",483,"2008-05-08","Load Shedding","West","May","Thursday",0,1,"Spring"
"CA",2008-05-09,0,0,81,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Friday",0,0,"Spring"
"CA",2008-05-10,0,0,84,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Saturday",1,0,"Spring"
"CA",2008-05-11,0,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Sunday",1,0,"Spring"
"CA",2008-05-12,0,0,78,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Monday",0,0,"Spring"
"CA",2008-05-13,0,0,87,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Tuesday",0,0,"Spring"
"CA",2008-05-14,0,0,91,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Wednesday",0,0,"Spring"
"CA",2008-05-15,0,0,97,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Thursday",0,0,"Spring"
"CA",2008-05-16,0,0,101,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Friday",0,0,"Spring"
"CA",2008-05-17,0,0,102,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Saturday",1,0,"Spring"
"CA",2008-05-18,0,0,99,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"May","Sunday",1,0,"Spring"
