Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
3410,SERC,Kentucky: Henderson County;,Transmission Interruption,20,5000,2021-09-28,13:44:00,2021-09-28,13:56:00
3411,SERC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",Severe Weather,Unknown,676000,2022-09-28,15:00:00,2022-10-03,15:53:00
3412,SERC,Florida:,Severe Weather,1000,116937,2022-09-28,18:00:00,2022-09-30,15:20:00
3413,SERC,"Florida: Hillsborough County, Polk County, Pasco County, Pinellas County;",Severe Weather,750,291361,2022-09-28,15:00:00,,
3414,WECC,California: Alameda County;,Distribution Interruption,Unknown,50072,2019-09-29,07:38:00,,
3415,MRO/SERC,Missouri: Jackson County;,System Operations,150,0,2021-09-29,11:48:00,2021-09-29,12:21:00
3416,SERC,"Florida: Orange County, Osceola County;",Severe Weather,0,0,2022-09-29,04:00:00,2022-10-03,00:00:00
3417,SERC,Florida: Polk County;,Severe Weather,150,15797,2022-09-29,03:27:00,,
3418,WECC,Washington: King County;,System Operations,0,0,2019-09-30,05:35:00,2019-09-30,08:10:00
3419,WECC,Nevada: Clark County;,Actual Physical Attack,3736,0,2019-09-30,12:17:00,2019-09-30,12:58:00
3420,WECC,Idaho: Bonneville County;,Vandalism,0,0,2019-09-30,10:53:00,2019-09-30,10:54:00
3421,NPCC,Connecticut: Maine: Rhode Island: Massachusetts: New Hampshire: Vermont:,Severe Weather,Unknown,155000,2020-09-30,05:55:00,2020-09-30,23:30:00
