Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
207,MAIN,"Chicago, Illinois",Transmission Equipment Failure,350,51500,2005-06-24,20:37:00,2005-06-24,23:06:00
208,WECC,Denver Metropolitan area of Colorado,Fuel Supply Deficiency/Coal Rail Transportation Interruption,0,0,2005-06-28,11:30:00,,
209,ECAR,Southeast  Michigan,Strong Thunderstorm/High Winds,1000,114711,2005-06-29,16:30:00,2005-07-04,23:30:00
210,PR,Island of Puerto Rico,Load Shedding,226,132290,2005-07-02,01:27:00,2005-07-02,01:46:00
211,SPP,"Southeast and Northeast, Louisiana including the New Orleans area",Tropical Storm Cindy,unknown,287000,2005-07-05,21:00:00,2005-07-06,09:00:00
212,SERC,"Alabama, Mississippi, Florida, Georgia",Hurricane Dennis,45,228102,2005-07-10,08:00:00,2005-07-12,08:00:00
213,SERC,Southwest Alabama and Western Panhandle of Florida,Hurricane Dennis,51.2,50000,2005-07-10,12:53:00,2005-07-11,17:33:00
214,WECC,Southern California,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,197,128050,2005-07-21,14:39:00,2005-07-21,17:30:00
215,WECC,Southern California ,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,206,133900,2005-07-22,13:55:00,2005-07-22,18:00:00
216,MAAC,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorms,,55118,2005-07-23,01:02:00,2005-07-26,10:50:00
217,MAAC,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",Severe Thunderstorms,,87600,2005-07-27,18:00:00,2005-07-29,16:00:00
218,MAAC,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",Severe Thunderstorms,,93837,2005-07-27,16:50:00,2005-07-28,21:24:00
219,MAAC,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",Severe Thunderstorm,  N/A,64943,2005-07-27,17:50:00,2005-07-30,21:07:00
220,SERC,Piedmont North and South Carolina,Severe Thunderstorm,300,52200,2005-07-28,20:30:00,2005-08-01,17:00:00
221,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,175,47116,2005-08-01,10:28:00,2005-08-01,10:47:00
222,WECC,"San Francisco Bay area, California",Plant Tripped,240,PG&E,2005-08-08,12:38:00,2005-08-08,16:00:00
223,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,259,71864,2005-08-19,19:37:00,2005-08-19,20:15:00
224,ECAR,Northwest Arkansas,Severe Thunderstorms,650,50797,2005-08-20,14:15:00,2005-08-20,16:21:00
225,WECC,Southern California,CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,-,-,2005-08-25,15:50:00,2005-08-25,20:00:00
226,WECC,Southern California,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,864,409000,2005-08-25,15:51:00,2005-08-25,20:00:00
227,SERC,"Alabama, Florida, Mississippi",Hurricane Katrina ,5120,512049,2005-08-29,07:10:00,2005-08-29,22:00:00
228,SERC,"Alabama, Mississippi,  Tennessee",Hurricane Katrina,118.5,323529,2005-08-29,15:50:00,2005-09-10,12:00:00
229,SPP,"Buras, Louisiana",Hurricane Katrina,,"1.1 million and 100,000 gas customers",2005-08-29,06:00:00,2005-08-30,06:00:00
230,FRCC,"City of Lakeland, Florida",Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,0,0,2005-08-29,17:00:00,2005-09-08,00:01:00
231,FRCC,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,0,0,2005-08-29,07:10:00,2005-09-07,15:00:00
232,SPP,East and Southeast Louisiana,Hurricane Katrina,300,143000,2005-08-29,01:10:00,2005-08-29,12:42:00
233,FRCC,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,0,0,2005-08-31,16:00:00,2005-09-12,08:00:00
234,WECC," Los Angeles, California",Breaker protection cable accidentally cut,2578,900000,2005-09-12,12:32:00,2005-09-12,13:56:00
235,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,249,66480,2005-09-13,14:14:00,2005-09-13,14:29:00
236,MAIN,Southeast Wisconsin and Fox Valley,Severe Storm,600,110000,2005-09-13,18:30:00,2005-09-16,20:00:00
237,SERC,Eastern North Carolina,Hurricane Ophelia,215,60000,2005-09-14,15:00:00,2005-09-15,15:00:00
238,MRO,Minnesota,High Winds/Tornados,,200000,2005-09-21,19:00:00,2005-09-27,23:00:00
239,FRCC,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,0,0,2005-09-22,12:00:00,2005-09-29,12:00:00
240,ECAR,Southeast Michigan,Severe Thunderstorm,366,53000,2005-09-22,11:00:00,2005-09-26,23:30:00
241,FRCC," Lakeland, Florida",Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,0,0,2005-09-23,07:00:00,2005-09-28,11:29:00
242,ERCOT,"Houston, Texas and the surrounding suburban areas",Hurricane Rita,1950,715000,2005-09-23,17:00:00,2005-09-24,20:00:00
243,SPP,"Texas, Louisiana, Arkansas, and Mississippi",Hurricane Rita,,766000,2005-09-23,21:00:00,2005-09-25,07:30:00
244,SPP,West and Southwest Louisiana,Hurricane Rita,350,125000,2005-09-23,13:06:00,2005-10-06,14:30:00
245,ERCOT,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",Hurricane Rita,260,200000,2005-09-24,06:00:00,2005-10-02,17:00:00
246,ECAR,"Shreveport, Louisiana",Hurricane Rita,700,190000,2005-09-24,10:00:00,2005-09-28,18:00:00
247,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,312,71240,2005-10-02,17:40:00,2005-10-02,17:54:00
248,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,460,142591,2005-10-18,15:19:00,2005-10-18,15:37:00
249,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,360,85682,2005-10-22,09:44:00,2005-10-22,11:40:00
250,FRCC,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",Hurricane Wilma,10000,3241437,2005-10-23,20:00:00,2005-10-24,14:00:00
251,FRCC,"Florida counties of Collier, Charlotte and Lee",Hurricane Wilma,280,105000,2005-10-24,04:00:00,2005-10-24,16:00:00
252,MAAC,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",Hurricane Wilma,400,303795,2005-10-24,20:00:00,2005-11-02,16:30:00
253,FRCC,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",Hurricane Wilma ,148,84900,2005-10-24,07:00:00,2005-11-10,00:00:00
254,WECC,"San Francisco Bay area, California",Plant Tripped,136,--,2005-11-03,18:47:00,2005-11-03,19:00:00
255,ECAR,Southeast Michigan,Severe Thunderstorm,212,118000,2005-11-06,07:30:00,2005-11-11,23:30:00
256,WeEnergiesMAIN,Southeast Wisconsin ,Severe Thunderstorms,10,48000,2005-11-12,16:00:00,2005-11-14,18:00:00
257,ECAR,Western and Central portions of Michigan's Lower Peninsula,Severe Thunderstorm,408,272355,2005-11-12,23:00:00,2005-11-14,23:59:00
258,SERC,Northeast Georgia,Ice Storm,75,52659,2005-12-15,05:05:00,2005-12-16,12:10:00
259,SERC,Piedmont North Carolina and South Carolina,Ice Storm,3500,683000,2005-12-15,04:00:00,2005-12-21,17:00:00
260,WECC,Northern and Central California,Severe Storms,800,1667316,2005-12-31,06:00:00,2006-01-05,09:00:00
261,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,--,142315,2006-01-14,15:45:00,2006-01-16,17:30:00
262,NPCC,Southern and Central Maine,Severe Storm,75,63000,2006-01-18,15:16:00,2006-01-18,18:34:00
263,WECC,"Snohomish County, Washington",Strong Winds,150,123827,2006-02-04,01:34:00,2006-02-06,00:01:00
264,WECC,Western Washington,Severe Windstorm,--,140000,2006-02-04,04:30:00,2006-02-08,08:00:00
265,RFC,Baltimore Metropolitan and Central Maryland,Major Snow Storm,500,180000,2006-02-11,21:00:00,2006-02-14,23:00:00
266,RFC,Entire Atlantic City Electric territory Southern New Jersey,Winter Snow/Ice Storm,80,130000,2006-02-12,02:00:00,2006-02-14,16:00:00
267,RFC,Entire Delmarva Power service territory,Winter Snow/Ice Storm,50,58000,2006-02-12,02:00:00,2006-02-13,07:00:00
268,RFC,Northern and Northwestern Virginia,Severe Snow Storm,250,126000,2006-02-12,05:55:00,2006-02-12,14:00:00
269,RFC,"Washington DC, Montgomery and Prince Georges Counties MD",Major Snow Storm,300,60000,2006-02-12,00:06:00,2006-02-14,17:44:00
270,RFC,"Muskegon, Michigan easterly to Bay City, Michigan",Severe Thunderstorm/ Snow/Ice Storm,100,252089,2006-02-16,12:00:00,2006-02-20,23:00:00
271,MRO,North Dakota,Fuel Supply - Deficiency Coal Rail Transportation Interruption,1650,0,2006-02-16,,,
272,NPCC,Upstate New York,Severe Weather,250,200000,2006-02-17,04:32:00,2006-02-17,12:00:00
273,WECC,Colorado,Inadequate Electric Resources to Serve Load,428,-,2006-02-18,08:50:00,2006-02-18,16:09:00
274,WECC,Northern and Central California,Severe Winter Storm,-,160000,2006-02-27,18:25:00,2006-03-01,14:30:00
275,SERC,"Arkansas, Mississippi, Louisiana, Southeast Texas",Severe Weather,,73000,2006-03-09,14:00:00,2006-03-09,22:00:00
276,RFC,"Springfield, Illinois and vicinity",Severe Weather,200,65400,2006-03-12,20:30:00,2006-03-14,12:00:00
277,RFC,Southern half of Indiana,Major Storms/Tornadoes,1000,186000,2006-04-02,21:00:00,2006-04-05,04:25:00
278,PR,Island of Puerto Rico,Voltage Reduction/Load Shed,116,54700,2006-04-07,08:43:00,2006-04-07,09:29:00
279,SERC,North and Central Alabama and Northern Georgia areas,Severe Weather/ Tornadoes,300,115589,2006-04-08,04:00:00,2006-04-08,11:00:00
280,ERCOT,AEP Texas Central/Texas North,Load Shed/Declared EECP,108,51404,2006-04-17,16:35:00,2006-04-17,18:10:00
281,ERCOT,ERCOT Region of Texas,Load Shed/Declared EECP,1000,200000,2006-04-17,15:25:00,2006-04-17,19:30:00
282,ERCOT,North and East Texas,Load Shed/ Declared EECP,380,489478,2006-04-17,16:11:00,2006-04-17,19:20:00
283,ERCOT,State of Texas (all of Austin Energy),Load Shed/Made Public Appeals/Rolling Blackouts,37- 40,"8,000 -10,000",2006-04-17,16:20:00,2006-04-17,18:30:00
284,ERCOT,System-wide greater Houston metro area (and across ERCOT),Load Shed/Made Public Appeals/Rolling Blackouts,260,68000,2006-04-17,16:10:00,2006-04-17,18:11:00
285,ERCOT,System-wide greater Houston metro area,Severe Weather,219,82000,2006-04-21,07:00:00,2006-04-21,10:00:00
286,PR,Island of Puerto Rico,Lightning Storm,237,164105,2006-04-29,14:55:00,2006-04-29,15:45:00
287,WECC,City of Bakersfield area,Transmission Equipment Failure/Fire,300,55655,2006-05-03,15:30:00,2006-05-03,21:35:00
288,PR,Island of Puerto Rico,Load Shed,140,94639,2006-05-04,14:12:00,2006-05-04,14:45:00
289,WECC,"San Francisco Bay area, California",Lightning Strike,133,-,2006-05-19,15:13:00,2006-05-19,22:30:00
290,RFC,"Southwest Ohio, Northern Kentucky, Central Indiana",Severe Weather,800,210000,2006-05-25,19:50:00,2006-05-27,09:00:00
291,RFC,Central Maryland,Severe Thunderstorms,335,70000,2006-06-01,18:30:00,2006-06-03,14:00:00
292,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Weather,,111555,2006-06-01,18:00:00,2006-06-03,09:00:00
293,HECO,Island of Oahu,Load Shed,120,29300,2006-06-01,14:12:00,2006-06-01,18:09:00
294,SERC,"Charlotte, North Carolina Metropolitan area",Severe Thunderstorm,70,72000,2006-06-11,18:00:00,2006-06-11,21:00:00
295,RFC,Ohio and Indiana,Severe Thunderstorms,750,195000,2006-06-22,14:00:00,2006-06-27,23:00:00
296,RFC,Northern Virginia,Severe Thunderstorms,300,75000,2006-07-02,18:39:00,2006-07-03,00:31:00
297,SERC,Northern Virginia,Severe Thunderstorms,335,67000,2006-07-04,17:30:00,2006-07-04,20:18:00
298,RFC,Middle 1/3 of Michigan Lower Peninsula,Severe Lightning Storms,150,315000,2006-07-16,14:00:00,2006-07-21,00:00:00
299,RFC,Northern Counties of Illinois,Severe Lightning Storms,,170519,2006-07-17,21:00:00,2006-07-18,09:00:00
300,NPCC,"Northwest Queens, New York City",Severe Weather/Public Appeals Made/Voltage Reduction,,25000,2006-07-17,18:50:00,2006-07-25,03:06:00
301,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Lightning Storms,,492955,2006-07-18,18:36:00,2006-07-23,23:59:00
302,NPCC,"Norwalk, Stamford, Connecticut",Lightning Storms/Tripped Lines,0,0,2006-07-18,20:07:00,2006-07-18,22:32:00
303,SERC,"Greater Little Rock, Arkansas",Load Reduction/Public Appeals Made,40,8000,2006-07-19,11:00:00,2006-07-19,17:54:00
304,MRO,Greater St. Louis Metropolitan area (Missouri and Illinois),Severe Storms (3) (Many customers experienced multiple outages.),1500,"700,000 (peak)  2,500,000 (actual)",2006-07-19,18:00:00,2006-07-31,08:00:00
305,WECC,California,Widespread Heat Wave/Public Appeals Made,200,1271893,2006-07-22,13:09:00,2006-07-27,16:00:00
306,WECC,California,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,414,Interruptible Tarriff 1-6 customers,2006-07-24,14:33:00,2006-07-24,17:33:00
307,WECC,California,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,695,,2006-07-24,14:33:00,2006-07-24,17:33:00
308,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Thunderstorms,,167564,2006-07-27,18:38:00,2006-07-29,21:36:00
309,RFC,Northern Ohio,Made Public Appeals/Heat Wave,,,2006-08-01,12:00:00,2006-08-01,19:00:00
310,RFC,"Ohio, Indiana, Kentucky",Made Public Appeals,90,,2006-08-01,13:00:00,2006-08-01,20:30:00
311,MRO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",Declared Energy Emergency Alert 2/Heat Wave,,,2006-08-02,12:00:00,2006-08-02,16:45:00
312,NPCC,New England,System Wide Voltage Reduction,,,2006-08-02,13:00:00,2006-08-02,16:35:00
313,NPCC,New England,Severe Thunderstorms,100-140,77000,2006-08-02,19:00:00,2006-08-03,01:00:00
314,PR,Island of Puerto Rico,Shed Firm Load,369,227480,2006-08-03,14:16:00,2006-08-03,14:46:00
315,RFC,"Tulsa, Oklahoma",Made Public Appeals,75,Major Industrial Customer Load Reduction,2006-08-07,13:00:00,2006-08-07,18:00:00
316,WECC,Southwest Idaho and Eastern Oregon,Severe Thunderstorm,80 to 100,65000,2006-08-10,20:00:00,2006-08-12,12:00:00
317,PR,Island of Puerto Rico,Shed Firm Load/Reduced Voltage,180,106000,2006-08-24,21:58:00,2006-08-24,23:25:00
318,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Tropical Storm Ernesto,,146094,2006-09-01,15:00:00,2006-09-04,23:00:00
319,SERC,Eastern North Carolina,Tropical Storm Ernesto,,61000,2006-09-01,05:30:00,2006-09-01,10:00:00
320,RFC,Southern Delmarva Peninsula,Tropical Storm Ernesto,380,105000,2006-09-01,10:00:00,2006-09-04,14:00:00
321,RFC,Southern New Jersey Counties,Tropical Storm Ernesto,400,100000,2006-09-01,20:00:00,2006-09-04,17:00:00
322,SERC,Virginia and North Carolina,Tropical Storm Ernesto,500,333000,2006-09-01,06:41:00,2006-09-03,15:25:00
323,PR,Island of Puerto Rico,Shed Firm Load/ Reduced Voltage,59,34716,2006-09-14,08:56:00,2006-09-14,09:08:00
324,SERC,"North, Central and Eastern Virginia and Northern North Carolina",Severe Thunderstorms,84,56500,2006-09-28,20:08:00,2006-09-28,22:10:00
325,RFC,"Chicago Metro, Northeast Illinois",Severe Thunderstorms,,471932,2006-10-02,14:00:00,2006-10-03,18:00:00
326,WECC,"Newhall, San Frenando, Saugus, and Santa Clarita, California",Shed Firm Load,308,130000,2006-10-02,15:05:00,2006-10-02,20:39:00
327,ERCOT,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",Shed Firm Load,339,,2006-10-03,17:28:00,2006-10-03,21:59:00
328,NPCC,Western New York State,Snow Storm,600,250000,2006-10-12,17:48:00,2006-10-23,00:00:00
329,NPCC,Western New York State,Snow Storm,353,120000,2006-10-12,20:00:00,2006-10-21,23:00:00
330,MECO,Island of Maui,Earthquakes,110,59886,2006-10-15,07:09:00,2006-10-15,16:12:00
331,HECO,Island of Oahu,Earthquakes,1170,291000,2006-10-15,07:09:00,2006-10-16,14:55:00
332,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds,,90000,2006-10-20,13:00:00,2006-10-22,17:00:00
333,MR0,"Metro Denver and Boulder, Colorado",Wet Snow/Winds,,65000,2006-10-26,05:30:00,2006-10-27,17:10:00
334,SERC,Georgia,Severe Weather,363,109000,2006-11-15,15:00:00,2006-11-15,17:00:00
335,ERCOT,System-wide greater Houston area,High Winds,221,83000,2006-11-15,10:00:00,2006-11-15,20:00:00
336,WECC,"Whatcom and Skagit Counties, Washington",High Winds,50,50000,2006-11-15,13:00:00,2006-11-19,02:35:00
337,WECC,"Snohomish County, Washington",Wind/Snow Storm,180,63992,2006-11-26,13:00:00,2006-12-02,18:00:00
338,MRO,Missouri and Illinois,Ice Storm,,550000,2006-11-30,21:00:00,2006-12-09,18:00:00
339,RFC,Ohio,Wind Storm,,59106,2006-12-01,18:20:00,2006-12-02,06:00:00
340,WECC,"San Francisco Bay area, California",Unit Tripped,220,,2006-12-10,19:35:00,2006-12-10,22:14:00
341,WECC,Western Washington,Wind Storm,,700000,2006-12-13,04:30:00,2006-12-28,23:59:00
342,WECC,"City of Seattle, Washington",Wind Storm,750,175000,2006-12-14,00:01:00,2006-12-15,08:00:00
343,WECC,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",High Winds,280,75000,2006-12-14,17:00:00,2006-12-16,16:00:00
344,WECC,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",High Winds,,249500,2006-12-14,19:00:00,2006-12-17,20:00:00
345,WECC,"Oregon, Washington, Idaho, Montana",Wind Storm,258,24,2006-12-14,09:44:00,2006-12-31,14:34:00
346,WECC,"Snohomish County, Washington",Wind Storm,360,172060,2006-12-14,05:30:00,2006-12-20,22:00:00
347,WECC,State of Oregon Coastal area,HIgh Winds,,"111,000 (peak)",2006-12-14,12:07:00,2006-12-17,12:00:00
348,WECC,"Oregon Counties:  Washington, Yamhill",Transmission Equipment/Fire,350,84500,2006-12-16,19:30:00,2006-12-17,01:00:00
349,WECC,Northern California,Severe Weather,420,850068,2006-12-26,00:01:00,2006-12-31,09:13:00
350,PR,North Part of the Island,Main Power Transformer Failure/Voltage Reduction/Fire,50,18386,2006-12-29,16:25:00,2006-12-31,18:59:00
351,MRO,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",Severe Weather,300-500,15000,2006-12-30,22:25:00,2006-01-06,14:25:00
352,PR,Island of Puerto Rico,Voltage Reduction,0,0,2007-01-05,10:44:00,2007-01-05,11:13:00
353,RFC,Eastern and Lower Michigan,Ice Storm,500,129607,2007-01-13,07:30:00,2007-01-19,16:00:00
354,MRO,Missouri and Illinois,Ice Storm,,225000,2007-01-13,05:00:00,2007-01-19,12:00:00
355,WECC,"Snohomish County, Washington",Major Windstorm,260,110433,2007-01-16,02:00:00,2007-01-17,00:00:00
356,RFC,Central Maryland,Winter Storm,400,155183,2007-02-13,17:00:00,2007-02-17,05:30:00
357,RFC,Indiana and Southwest Ohio,Ice/Wind Storm,250,367500,2007-02-13,14:00:00,2007-02-16,00:00:00
358,RFC,"Cedar Rapids, Iowa",Ice Storm,750,215000,2007-02-24,19:23:00,2007-02-25,00:47:00
359,MRO,Central Iowa and Cedar Rapids areas,Ice Storm,400,140000,2007-02-24,18:00:00,2007-02-24,23:47:00
360,MRO,"NE quarter of State of Iowa and Rock Island, Illinois",Ice Storm,210,75000,2007-02-24,16:00:00,2007-03-04,00:57:00
361,WECC,Northern California,Winter Storm,110,671189,2007-02-28,00:45:00,2007-03-02,20:45:00
